2025-03-25 12:19:19,493 - INFO - Conectado a la base de datos exitosamente.
2025-03-25 12:19:19,495 - INFO - Elementos de la tabla Anexos:
2025-03-25 12:19:19,495 - INFO - 0- (' 001/2019/6676-5259', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 51- ('001/2021/1501', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 52- ('001/2021/16473', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 53- ('001/2021/1867-1528', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 54- ('001/2021/2344', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 55- ('001/2021/4581', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 56- ('001/2021/5148', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 57- ('001/2021/5679', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 58- ('001/2021/5712', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 59- ('001/2021/6270', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 60- ('001/2021/9278', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 61- ('001/2021/9478', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 62- ('001/2021/9543', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 63- ('001/2021/9692', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 64- ('001/2022/12569', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 65- ('001/2022/12871', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 66- ('001/2022/14098', 'N/A', 'N/A', False)
2025-03-25 12:19:19,498 - INFO - 67- ('001/2022/14681', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 68- ('001/2022/16013', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 69- ('001/2022/16127', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 70- ('001/2022/16425', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 71- ('001/2022/17565', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 72- ('001/2022/2269', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 73- ('001/2022/2623', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 74- ('001/2022/35', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 75- ('001/2022/3677', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 76- ('001/2022/3687', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 77- ('001/2022/4343', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 78- ('001/2022/4612', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 79- ('001/2022/5411', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 80- ('001/2022/5484', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 81- ('001/2022/6376', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 82- ('001/2022/6742', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 83- ('001/2022/6888', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 84- ('001/2022/7201', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 85- ('001/2022/8641', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 86- ('001/2022/9331', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 87- ('001/2023/10437', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 88- ('001/2023/10469', 'N/A', 'N/A', False)
2025-03-25 12:19:19,499 - INFO - 89- ('001/2023/11443', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 90- ('001/2023/13066', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 91- ('001/2023/13133', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 92- ('001/2023/2283', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 93- ('001/2023/364', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 94- ('001/2023/4276', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 95- ('001/2023/689', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 96- ('001/2023/6956', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 97- ('001/2023/7616', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 98- ('001/2023/8196', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 99- ('003/2021 _2021/OFI_01/000075', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 100- ('008-00133/2020', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 101- ('008-0069/2021', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=dd397aab-723d-49c3-a68f-32440050ecfa', 'anexos pcap.doc', True)
2025-03-25 12:19:19,500 - INFO - 102- ('008-0111/2021', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=b88237b4-2f2b-45b9-a234-dd22ed1c3421', 'anexos pcap.doc', True)
2025-03-25 12:19:19,500 - INFO - 103- ('01/2020', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 104- ('01/2020 CONSERVACION CASTILLO', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 105- ('01/2022', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 106- ('01/2022 EXPL', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 107- ('01/2023', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 108- ('01088/2022', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 109- ('02/2022', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 110- ('020020210165', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 111- ('020020220193', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 112- ('020020220202', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 113- ('03/2022EXPL', 'N/A', 'N/A', False)
2025-03-25 12:19:19,500 - INFO - 114- ('03/2023EXPL', 'N/A', 'N/A', False)
2025-03-25 12:19:19,501 - INFO - 115- ('03/VC-25/22', 'N/A', 'N/A', False)
2025-03-25 12:19:19,501 - INFO - 116- ('032023PAS1002', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=f21f76c9-ac9f-4957-b44c-1563380a24ab', '10-1 anexo i.pdf', True)
2025-03-25 12:19:19,501 - INFO - 117- ('039/2020', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=c69b5879-cb9c-4299-a152-25b7e1485f50', 'anexo i_pcap_firmado.pdf', True)
2025-03-25 12:19:19,501 - INFO - 118- ('04/2023/EEE', 'N/A', 'N/A', False)
2025-03-25 12:19:19,501 - INFO - 119- ('04101/2018/113-O BIS', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=aa33ea38-8e1a-41f9-8890-a39fcf23f3f2', 'anexo i contratacion.pdf', True)
2025-03-25 12:19:19,501 - INFO - 120- ('04101/2019/212-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=41788a87-6e36-411b-bfa3-5188c9176737', 'anexo_i_contratacion_15mayo.pdf', True)
2025-03-25 12:19:19,501 - INFO - 121- ('04101/2019/223-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=ed28a294-d582-4936-84d5-3364242e1f8b', 'anexo i pcap.pdf', True)
2025-03-25 12:19:19,501 - INFO - 122- ('04101/2019/234-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=ace253ce-034a-4c46-b261-afc396a7fdfc', 'anexo i.pdf', True)
2025-03-25 12:19:19,501 - INFO - 123- ('04101/2019/241-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=3aff938b-234b-4ca3-9f15-62a44c283e06', 'anexo i contratacion.pdf', True)
2025-03-25 12:19:19,501 - INFO - 124- ('04101/2019/242-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=c5284be9-75be-4dbe-bfc1-75381cf7fdb3', 'anexo i.pdf', True)
2025-03-25 12:19:19,501 - INFO - 125- ('04101/2019/243-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=e9a443fb-00fe-4396-8087-39a9329ce34f', 'anexo i pcap contratacion.pdf', True)
2025-03-25 12:19:19,501 - INFO - 126- ('04101/2019/249-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=c355d2d9-e5e0-4f06-8c78-5cdc816777c5', 'anexo i contratacion.pdf', True)
2025-03-25 12:19:19,501 - INFO - 127- ('04101/2019/252-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=fc7e6c4d-168b-44ed-abbb-f40b986dca2d', 'anexo i pcap contratacion.pdf', True)
2025-03-25 12:19:19,501 - INFO - 128- ('04101/2019/254-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=a9b2e8b9-4176-4136-b0fc-0497cbf82532', 'anexo i pcap contratacion.pdf', True)
2025-03-25 12:19:19,501 - INFO - 129- ('04101/2020/105-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=3d0d59a5-74f1-4fd4-bff7-72a0e9c66b23', 'anexo_i_pcap.pdf', True)
2025-03-25 12:19:19,501 - INFO - 130- ('04101/2020/108-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=818a1d9b-d3ed-4e45-a9b1-0fa5ec601537', 'anexo_i_pcap_contratacion.pdf', True)
2025-03-25 12:19:19,501 - INFO - 131- ('04101/2020/109-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=8649b1dd-536b-42da-aebc-d662d06771f1', 'anexo_i_pcap_contratacion.pdf', True)
2025-03-25 12:19:19,501 - INFO - 132- ('04101/2020/110-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=0f497e2e-9f6d-46f8-b39f-760e1c6c751b', 'anexo i pcap.pdf', True)
2025-03-25 12:19:19,501 - INFO - 133- ('04101/2020/111-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=dcb04657-89fd-40c6-ba08-3a70429c1bf2', 'anexo i pcap.pdf', True)
2025-03-25 12:19:19,501 - INFO - 134- ('04101/2020/113-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=6b96530b-ba00-4457-9d9d-8f91258d061c', 'anexo i pcap.pdf', True)
2025-03-25 12:19:19,502 - INFO - 135- ('04101/2020/114-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=dc8de356-5b92-45b2-ba3e-9c9ebf90020b', 'anexo i pcap.pdf', True)
2025-03-25 12:19:19,502 - INFO - 136- ('04101/2020/117-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=d8aa5448-bf95-40bb-9562-79eeaad751fc', 'anexo_i_pcap.pdf', True)
2025-03-25 12:19:19,502 - INFO - 137- ('04101/2020/119-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=23ef1d5f-68aa-4f7d-9346-76d478a52011', 'anexo_i_pcap.pdf', True)
2025-03-25 12:19:19,502 - INFO - 138- ('04101/2020/120-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=461eddaa-2a87-4560-a1d2-27eef5e53904', 'anexo_i_pcap.pdf', True)
2025-03-25 12:19:19,502 - INFO - 139- ('04101/2020/127-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=81b92c97-9c85-41d7-9862-2332c3aa5d12', 'anexo i pcap rectificado.pdf', True)
2025-03-25 12:19:19,502 - INFO - 140- ('04101/2020/132-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=becbcbb0-037c-4020-8a6c-9af5609cfd7e', 'anexo_i_pcap.pdf', True)
2025-03-25 12:19:19,502 - INFO - 141- ('04101/2020/136-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=b52db1cb-a33d-48a5-beb9-6b1cc4551144', '01 pe bosquete sostenible indice memoria anexos.pdf', True)
2025-03-25 12:19:19,502 - INFO - 142- ('04101/2020/138-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=55bb2975-3b3d-406f-ae4a-29c0b66c3885', 'anexo_i_pcap_4101-2020-138-o.pdf', True)
2025-03-25 12:19:19,502 - INFO - 143- ('04101/2020/139-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=0808eae1-dada-4303-811f-5743d1042175', 'anexo_i_pcap.pdf', True)
2025-03-25 12:19:19,502 - INFO - 144- ('04101/2020/142-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=f0d866ed-92d0-4c06-959e-e63066442002', 'anexo_i_pcap.pdf', True)
2025-03-25 12:19:19,502 - INFO - 145- ('04101/2020/154-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=0923e35f-82f2-46a9-a413-56303099a7be', 'anexo_i_pcap.pdf', True)
2025-03-25 12:19:19,502 - INFO - 146- ('04101/2020/159-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=50f5b8ac-cf10-4e0c-a4a3-ce798077584d', 'anexo_i_pcap.pdf', True)
2025-03-25 12:19:19,502 - INFO - 147- ('04101/2020/161-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=8578ca33-f9d5-4aed-a10a-a32bbf7a1e8a', 'anexo_i_pcap.pdf', True)
2025-03-25 12:19:19,502 - INFO - 148- ('04101/2020/162-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=d03e5c10-7f4f-4d17-9e8e-917514a1ac78', 'anexo_i_pcap.pdf', True)
2025-03-25 12:19:19,502 - INFO - 149- ('04101/2020/164-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=90e42866-89bb-46f0-83d8-56ac521f89d3', '8 anexo 1 proyecto.pdf', True)
2025-03-25 12:19:19,502 - INFO - 150- ('04101/2020/165-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=277c3635-c492-4951-8bc6-45193bc00d15', 'anexo i pcap rectificado.pdf', True)
2025-03-25 12:19:19,502 - INFO - 151- ('04101/2020/166-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=d4a767c6-05b1-488c-a2f3-dbc4e6d26c13', 'anexo_i_pcap_166-o.pdf', True)
2025-03-25 12:19:19,502 - INFO - 152- ('04101/2020/168-O', 'https://contrataciondelestado.es/wps/wcm/connect/PLACE_es/Site/area/docAccCmpnt?srv=cmpnt&cmpntname=GetDocumentsById&source=library&DocumentIdParam=1e854bad-be0c-4204-a012-32464a2efaa2', 'anexo_i_pcap_proyectos_epsar.pdf', True)
